numOfAuthor,ApprovePaper
1,0.933071999999413
2,1.473660999988624
3,2.014250000007678
4,2.554839000026732
5,3.0954279999861
6,3.6360169999852587
7,4.176606000004313
8,4.7171950000233664
9,5.2577839999628395
10,5.798372999981893
11,6.338961999881576
12,6.8795509998608395
13,7.420139999919684
14,7.960728999819366
15,8.50131799979863
16,9.041906999857474
17,9.582495999757157
18,10.123084999816001
19,10.663673999795265
20,11.204262999774528
21,11.74485199967421
22,12.285440999653474
23,12.826029999632738
24,13.366618999612001
25,13.907207999591265
26,14.447796999411366
27,14.98838599939063
28,15.528974999529055
29,16.06956399950832
30,16.610152999487582
31,17.150741999466845
32,17.69133099960527
33,18.231919999425372
34,18.772508999404636
35,19.3130979993839
36,19.853686999363163
37,20.394275999342426
38,20.93486499932169
39,21.475453999300953
40,22.016042999439378
41,22.55663199925948
42,23.097220999397905
43,23.637809999854653
44,24.178398999674755
45,24.71898799981318
46,25.25957700026993
47,25.80016600009003
48,26.34075500054678
49,26.88134400036688
50,27.421933000505305
51,27.96252200064373
52,28.50311100110048
53,29.043700001238903
54,29.584289001059005
55,30.12487800119743
56,30.66546700165418
57,31.20605600147428
58,31.746645001612706
59,32.28723400175113
60,32.82782300220788
61,33.368412002346304
62,33.90900100248473
63,34.44959000230483
64,34.990179002443256
65,35.53076800258168
66,36.07135700303843
67,36.61194600285853
68,37.152535002996956
69,37.69312400313538
70,38.233713003273806
71,38.77430200341223
